Animal;TLOfADRR0
Sminthopsis_crassicaudata;5789
Sminthopsis_douglasi;3021
Sorex_araneus;3423
Sorex_cylindricauda;4113
Sorex_tundrensis;4415
Sorex_unguiculatus;4025
Sousa_chinensis;3533
Spalacopus_cyanus;5306
Spermophilus_dauricus;3259
Spilogale_putorius;4696
Stenella_attenuata;3557
Stenella_coeruleoalba;3443
Sturnira_tildae;4381
Stylodipus_telum;5703
Suncus_murinus;5938
Sus_barbatus;3965
Sus_cebifrons;3745
Sus_celebensis;3813
Sus_scrofa;3770
Sus_verrucosus;3875
Sylvicapra_grimmia;3101
Symphalangus_syndactylus;3479
Syncerus_caffer;3035
Tachyglossus_aculeatus;2894
Talpa_europaea;3633
Tamandua_mexicana;3919
Tamandua_tetradactyla;3857
Tamias_sibiricus;4407
Tamiops_maritimus;3404
Tamiops_swinhoei;3497
Tapirus_indicus;3910
Tarsipes_rostratus;2756
Tarsius_bancanus;3791
Tarsius_dentatus;4567
Tarsius_lariang;4758
Tarsius_wallacei;4390
Taxidea_taxus;3523
Tetracerus_quadricornis;3542
Theropithecus_gelada;3501
Thryonomys_swinderianus;3953
Thylamys_elegans;2823
Tlacuatzin_canescens;5890
Tolypeutes_matacus;5966
Tolypeutes_tricinctus;5115
Tonatia_saurophila;3563
Trachypithecus_cristatus;3300
Trachypithecus_francoisi;3145
Trachypithecus_germaini;3475
Trachypithecus_hatinhensis;3365
Trachypithecus_johnii;3374
Trachypithecus_obscurus;3346
Trachypithecus_pileatus;3242
Trachypithecus_shortridgei;3044
Trachypithecus_vetulus;3192
Tragelaphus_angasii;3274
Tragelaphus_eurycerus;3618
Tragelaphus_imberbis;2812
Tragelaphus_oryx;3265
Tragelaphus_scriptus;3623
Tragelaphus_spekii;3481
Tragelaphus_strepsiceros;3037
Tragulus_kanchil;3077
Tremarctos_ornatus;3535
Trichechus_manatus;2954
Trichosurus_vulpecula;4787
Trinomys_dimidiatus;3615
Tscherskia_triton;2716
Tupaia_belangeri;4425
Tursiops_aduncus;3191
Tursiops_truncatus;3319
Tympanoctomys_barrerae;5515
Urocyon_cinereoargenteus;2327
Uropsilus_soricipes;3974
Urotrichus_talpoides;3827
Ursus_americanus;8153
Ursus_arctos;5861
Ursus_maritimus;3009
Ursus_thibetanus;5008
Vampyrum_spectrum;3236
Varecia_variegata;4609
Vespertilio_sinensis;4693
Vicugna_vicugna;2438
Viverricula_indica;3413
Vombatus_ursinus;3883
Vulpes_corsac;5564
Vulpes_ferrilata;4615
Vulpes_vulpes;10616
Vulpes_zerda;5219
Wiedomys_cerradensis;4171
Zaedyus_pichiy;3842
Zalophus_californianus;5702
Ziphius_cavirostris;3226
